timestamp_revisao,nome_revisor,char_beneficiario_aprovado,makers_aprovados,filenames_associados,acao
2025-05-13T12:07:29.587852,diegodeabreu,Nome: Rodrigo | Main: Max ligeiriinho,"Max Ligeiriinho,Digu Diferent","20250513_120357_969778_B_Nome_Rodrigo__Main_Max_ligeiriinho_M1_Max_Ligeiriinho_img1.jpg,20250513_120357_969778_B_Nome_Rodrigo__Main_Max_ligeiriinho_M2_Digu_Diferent_img2.jpg",Aprovado
2025-05-13T12:08:24.014630,diegodeabreu,Donel,"Droi da,Dethoxy,Akazera","20250513_100612_970773_B_Donel_M1_Droi_da_img1.jpg,20250513_100612_970773_B_Donel_M2_Dethoxy_img2.jpg,20250513_100612_970773_B_Donel_M3_Akazera_img3.jpg",Aprovado
2025-05-13T12:09:16.064300,diegodeabreu,Astro Nox,"Astro Nox,Astro Nax","20250513_095557_494072_B_Astro_Nox_M1_Astro_Nox_img1.png,20250513_095557_494072_B_Astro_Nox_M2_Astro_Nax_img2.png",Aprovado
2025-05-13T12:12:49.678267,diegodeabreu,Pleew Testoalta,"Tankahua testoalta,Pleew Testoalta","20250513_104312_586754_B_Pleew_Testoalta_M1_Tankahua_testoalta_img1.jpg,20250513_104312_586754_B_Pleew_Testoalta_M2_Pleew_Testoalta_img2.jpg",Aprovado
2025-05-13T12:17:21.767590,diegodeabreu,Fabio Mask,"Mestre Fabao,Fabio Mask Xybra","20250513_095436_268281_B_Fabio_Mask_M1_Mestre_Fabao_img1.png,20250513_095436_268281_B_Fabio_Mask_M2_Fabio_Mask_Xybra_img2.png",Aprovado
2025-05-13T12:23:08.910018,diegodeabreu,pedila,"Hanstick,Alotha Quim","20250513_093507_242989_B_pedila_M1_Hanstick_img1.png,20250513_093507_242989_B_pedila_M2_Alotha_Quim_img2.png",Aprovado
2025-05-13T12:23:30.399869,diegodeabreu,xybro.tibiaspeak.com,"Cirilao Crazyy,Cirilo Matatudo","20250513_093452_358078_B_xybrotibiaspeakcom_M1_Cirilao_Crazyy_img1.png,20250513_093452_358078_B_xybrotibiaspeakcom_M2_Cirilo_Matatudo_img2.png",Aprovado
2025-05-13T12:23:54.690940,diegodeabreu,Arrank Diu,"Arrank Diu,Malukson","20250513_093229_210632_B_Arrank_Diu_M1_Arrank_Diu_img1.png,20250513_093229_210632_B_Arrank_Diu_M2_Malukson_img2.png",Aprovado
2025-05-13T12:24:18.966743,diegodeabreu,Cassinho,"Hypersonic,Ohnissac","20250513_084910_734397_B_Cassinho_M1_Hypersonic_img1.png,20250513_084910_734397_B_Cassinho_M2_Ohnissac_img2.png",Aprovado
2025-05-13T12:26:29.683849,diegodeabreu,Masterstriker,"Masterstriker,Masuta Sturaika","20250513_092911_377960_B_Masterstriker_M1_Masterstriker_img1.png,20250513_092911_377960_B_Masterstriker_M2_Masuta_Sturaika_img2.png",Aprovado
2025-05-13T12:27:04.067505,diegodeabreu,Frostnalys,"Frostnalys,Moranguinhow","20250513_093003_053564_B_Frostnalys_M1_Frostnalys_img1.png,20250513_093003_053564_B_Frostnalys_M2_Moranguinhow_img2.png",Aprovado
2025-05-13T12:27:21.530773,diegodeabreu,Rose,"Skull Rose,Spin the world","20250513_091512_327896_B_Rose_M1_Skull_Rose_img1.jpg,20250513_091512_327896_B_Rose_M2_Spin_the_world_img2.jpg",Aprovado
2025-05-13T12:27:35.395339,diegodeabreu,nustake,"Tashow,Nustakin,Xygu","20250513_083016_617773_B_nustake_M1_Tashow_img1.jpeg,20250513_083016_617773_B_nustake_M2_Nustakin_img2.jpeg,20250513_083016_617773_B_nustake_M3_Xygu_img3.jpeg",Aprovado
2025-05-13T12:27:55.344788,diegodeabreu,Blast Tank,"Blast Tank,Blast Monk","20250513_091023_482956_B_Blast_Tank_M1_Blast_Tank_img1.png,20250513_091023_482956_B_Blast_Tank_M2_Blast_Monk_img2.png",Aprovado
2025-05-13T12:53:32.563527,diegodeabreu,psy arkantus,"psy arkantus,soko fofo","20250513_102328_692252_B_psy_arkantus_M1_psy_arkantus_img1.jpg,20250513_102328_692252_B_psy_arkantus_M2_soko_fofo_img2.jpg",Aprovado
2025-05-13T13:27:53.526281,diegodeabreu,Theonis,"Theonis Profunda,Theoniis","20250513_123342_668666_B_Theonis_M1_Theonis_Profunda_img1.jpeg,20250513_123342_668666_B_Theonis_M2_Theoniis_img2.jpeg",Aprovado
2025-05-13T13:41:45.440670,diegodeabreu,Chegrei Xybra,"Chegrei Xybra,Ingrirly trepadeiras","20250513_133115_708402_B_Chegrei_Xybra_M1_Chegrei_Xybra_img1.png,20250513_133115_708402_B_Chegrei_Xybra_M2_Ingrirly_trepadeiras_img2.png",Aprovado
2025-05-13T13:42:11.916531,diegodeabreu,Irineu de Maua,"Irineu de Maua,Nicole Marreta","20250513_132035_958290_B_Irineu_de_Maua_M1_Irineu_de_Maua_img1.png,20250513_132035_958290_B_Irineu_de_Maua_M2_Nicole_Marreta_img2.png",Aprovado
2025-05-13T13:42:36.720379,diegodeabreu,David Sombra,"Mini Sombra,David Sombra","20250513_131353_718738_B_David_Sombra_M1_Mini_Sombra_img1.png,20250513_131353_718738_B_David_Sombra_M2_David_Sombra_img2.png",Aprovado
2025-05-13T13:42:48.918052,diegodeabreu,Gon,"ascheriit,kara koo","20250513_125841_630528_B_Gon_M1_ascheriit_img1.jpeg,20250513_125841_630528_B_Gon_M2_kara_koo_img2.jpeg",Aprovado
2025-05-13T13:43:09.141969,diegodeabreu,Two Punchman,"Two Punchman,Aurora Skulless","20250513_125540_158766_B_Two_Punchman_M1_Two_Punchman_img1.png,20250513_125540_158766_B_Two_Punchman_M2_Aurora_Skulless_img2.png",Aprovado
2025-05-13T13:43:25.966245,diegodeabreu,Biel no talento,"Biel no talento,Xybraldinho cura fofo","20250513_125415_995359_B_Biel_no_talento_M1_Biel_no_talento_img1.jpg,20250513_125415_995359_B_Biel_no_talento_M2_Xybraldinho_cura_fofo_img2.jpg",Aprovado
2025-05-13T13:43:59.305058,diegodeabreu,Azakluck,"Zen furia zen,Azak luck,Jui spadachin","20250513_123152_535745_B_Azakluck_M1_Zen_furia_zen_img1.jpg,20250513_123152_535745_B_Azakluck_M2_Azak_luck_img2.jpg,20250513_123152_535745_B_Azakluck_M3_Jui_spadachin_img3.jpg",Aprovado
2025-05-13T13:44:57.332614,diegodeabreu,Zovo,"Pedrin Miligramas,Jius Node","20250513_123116_335623_B_Zovo_M1_Pedrin_Miligramas_img1.png,20250513_123116_335623_B_Zovo_M2_Jius_Node_img2.png",Aprovado
2025-05-13T13:47:52.687803,diegodeabreu,TaortLucild,"Taort Lucild,Aryu Kimblaya","20250513_020108_912347_B_TaortLucild_M1_Taort_Lucild_img1.png,20250513_020108_912347_B_TaortLucild_M2_Aryu_Kimblaya_img2.png",Aprovado
2025-05-13T14:12:10.041694,diegodeabreu,Bah Gana Reaper,"Bah Gana Reaper,Bagana Reaper","20250513_140620_869464_B_Bah_Gana_Reaper_M1_Bah_Gana_Reaper_img1.png,20250513_140620_869464_B_Bah_Gana_Reaper_M2_Bagana_Reaper_img2.png",Aprovado
2025-05-13T15:30:12.019865,diegodeabreu,Brunin,"Chernnobyl,Antara old gangster","20250513_152904_587739_B_Brunin_M1_Chernnobyl_img1.jpeg,20250513_152904_587739_B_Brunin_M2_Antara_old_gangster_img2.jpeg",Aprovado
2025-05-13T15:30:41.587265,diegodeabreu,Polar,"Polar xybra,Polar xybraa","20250513_152738_228236_B_Polar_M1_Polar_xybra_img1.jpg,20250513_152738_228236_B_Polar_M2_Polar_xybraa_img2.jpg",Aprovado
2025-05-13T15:40:32.787754,Erishszin,Beru Outlaws,"Te teusz,Beru outlaws","20250512_233858_912517_B_Beru_Outlaws_M1_Te_teusz_img1.jpeg,20250512_233858_912517_B_Beru_Outlaws_M2_Beru_outlaws_img2.jpeg",Aprovado
2025-05-13T15:40:44.943425,Rogerio Aston,Tigrao,"Pouca Vida,Klaabum","20250513_153216_539738_B_Tigrao_M1_Pouca_Vida_img1.png,20250513_153216_539738_B_Tigrao_M2_Klaabum_img2.png",Aprovado
2025-05-13T15:41:28.765970,Rogerio Aston,Kizarus,"Jessknight,Trygue","20250513_154032_705804_B_Kizarus_M1_Jessknight_img1.png,20250513_154032_705804_B_Kizarus_M2_Trygue_img2.jpeg",Aprovado
2025-05-13T15:41:59.853029,Rogerio Aston,Pansa,"Pansa Outlaws,Santana Black Druid","20250513_153956_938237_B_Pansa_M1_Pansa_Outlaws_img1.png,20250513_153956_938237_B_Pansa_M2_Santana_Black_Druid_img2.png",Aprovado
2025-05-13T15:42:16.541496,Rogerio Aston,Bernardo,"Darveck Meditando,Pothrion Alcone","20250513_153800_251681_B_Bernardo_M1_Darveck_Meditando_img1.jpeg,20250513_153800_251681_B_Bernardo_M2_Pothrion_Alcone_img2.jpeg",Aprovado
2025-05-13T15:42:48.728439,Rogerio Aston,Slaiker,"Slaiker,Darkness Slaiker","20250513_153035_918058_B_Slaiker_M1_Slaiker_img1.png,20250513_153035_918058_B_Slaiker_M2_Darkness_Slaiker_img2.png",Aprovado
2025-05-13T15:43:53.869985,Rogerio Aston,Streakloov - Thiago,"Euvou Para Goianiaa,Streakloov","20250513_154221_098325_B_Streakloov__Thiago_M1_Euvou_Para_Goianiaa_img1.png,20250513_154221_098325_B_Streakloov__Thiago_M2_Streakloov_img2.png",Aprovado
2025-05-13T15:44:12.461817,Rogerio Aston,Wiadjin Elite,"Wiadjin Elite,Kizarus the Retired","20250513_154349_857913_B_Wiadjin_Elite_M1_Wiadjin_Elite_img1.png,20250513_154349_857913_B_Wiadjin_Elite_M2_Kizarus_the_Retired_img2.png",Aprovado
2025-05-13T15:44:28.766531,Erishszin,Marcelos - Joseh Kennedy,"Joseh Kennedy,Older Ti Critica","20250512_234207_945200_B_Marcelos__Joseh_Kennedy_M1_Joseh_Kennedy_img1.jpg,20250512_234207_945200_B_Marcelos__Joseh_Kennedy_M2_Older_Ti_Critica_img2.jpg",Aprovado
2025-05-13T15:44:30.643534,Rogerio Aston,Max CL,"Martian Avalanche,Cul Iaito","20250513_154319_517479_B_Max_CL_M1_Martian_Avalanche_img1.jpg,20250513_154319_517479_B_Max_CL_M2_Cul_Iaito_img2.jpg",Aprovado
2025-05-13T15:45:24.624237,Erishszin,R1CK,"Rick Bolts,Rick Chaosmage","20250512_234959_864829_B_R1CK_M1_Rick_Bolts_img1.png,20250512_234959_864829_B_R1CK_M2_Rick_Chaosmage_img2.png",Aprovado
